Demo_RDM,Subject,ROI,RSA_Score
layer_1_pca.pkl,sub01,EBA,0.03757919625330956
layer_1_pca.pkl,sub01,FFA,0.02133480181171686
layer_1_pca.pkl,sub01,LOC,0.049713038081580715
layer_1_pca.pkl,sub01,PPA,0.027574074714135356
layer_1_pca.pkl,sub01,STS,0.027638727282639632
layer_1_pca.pkl,sub01,V1,0.07164850978463634
layer_1_pca.pkl,sub01,V2,0.05672170349643607
layer_1_pca.pkl,sub01,V3,0.042436938056428966
layer_1_pca.pkl,sub01,V4,0.028660682878994162
layer_1_pca.pkl,sub02,EBA,0.04591554418590206
layer_1_pca.pkl,sub02,FFA,0.02506858263125505
layer_1_pca.pkl,sub02,LOC,0.03765767600613222
layer_1_pca.pkl,sub02,PPA,0.01988972381577327
layer_1_pca.pkl,sub02,STS,0.01799200028274898
layer_1_pca.pkl,sub02,V1,0.0861416882167975
layer_1_pca.pkl,sub02,V2,0.043375928571747574
layer_1_pca.pkl,sub02,V3,0.03111558943822865
layer_1_pca.pkl,sub02,V4,0.035293960675798076
layer_1_pca.pkl,sub03,EBA,0.044543760105915424
layer_1_pca.pkl,sub03,FFA,0.02414819464198102
layer_1_pca.pkl,sub03,LOC,0.044064791885546586
layer_1_pca.pkl,sub03,PPA,0.026969037026127303
layer_1_pca.pkl,sub03,STS,0.02752465683997166
layer_1_pca.pkl,sub03,V1,0.03404898922258502
layer_1_pca.pkl,sub03,V2,0.05108643343464271
layer_1_pca.pkl,sub03,V3,0.03680735778339086
layer_1_pca.pkl,sub03,V4,0.023971333814093023
layer_1_pca.pkl,sub04,EBA,0.04110241140737531
layer_1_pca.pkl,sub04,FFA,0.03249712970586557
layer_1_pca.pkl,sub04,LOC,0.05307582848932524
layer_1_pca.pkl,sub04,PPA,0.02222001207717487
layer_1_pca.pkl,sub04,STS,0.024959534436268797
layer_1_pca.pkl,sub04,V1,0.07421771787722176
layer_1_pca.pkl,sub04,V2,0.056587034635325106
layer_1_pca.pkl,sub04,V3,0.048144449394444795
layer_1_pca.pkl,sub04,V4,0.03238652163078274
layer_1_pca.pkl,sub05,EBA,0.048401118886987206
layer_1_pca.pkl,sub05,FFA,0.024616122198517363
layer_1_pca.pkl,sub05,LOC,0.04883568764420003
layer_1_pca.pkl,sub05,PPA,0.025535179757659468
layer_1_pca.pkl,sub05,STS,0.03219243862631964
layer_1_pca.pkl,sub05,V1,0.07747962062331619
layer_1_pca.pkl,sub05,V2,0.04198920915536205
layer_1_pca.pkl,sub05,V3,0.03984887641275095
layer_1_pca.pkl,sub05,V4,0.030786302959999377
layer_1_pca.pkl,sub06,EBA,0.04157445668602243
layer_1_pca.pkl,sub06,FFA,0.024777439707531605
layer_1_pca.pkl,sub06,LOC,0.041548410864686594
layer_1_pca.pkl,sub06,PPA,0.024150008569922773
layer_1_pca.pkl,sub06,STS,0.02585472992471385
layer_1_pca.pkl,sub06,V1,0.08954634411689802
